curve_id,x,y
fl-4.0-structure-124,21.0,65.0
fl-4.0-structure-124,22.0,66.0
fl-4.0-structure-124,23.0,67.0
fl-4.0-structure-124,24.0,68.0
fl-4.0-structure-125,-4.0,0.0
fl-4.0-structure-125,-3.0,0.0
fl-4.0-structure-125,-2.0,0.0
fl-4.0-structure-125,-1.0,0.0
fl-4.0-structure-125,0.0,6.0
fl-4.0-structure-125,1.0,10.0
fl-4.0-structure-125,2.0,18.0
fl-4.0-structure-125,3.0,23.0
fl-4.0-structure-125,4.0,27.0
fl-4.0-structure-125,5.0,32.0
fl-4.0-structure-125,6.0,39.0
fl-4.0-structure-125,7.0,39.0
fl-4.0-structure-125,8.0,43.0
fl-4.0-structure-125,9.0,44.0
fl-4.0-structure-125,10.0,44.0
fl-4.0-structure-125,11.0,46.0
fl-4.0-structure-125,12.0,47.0
fl-4.0-structure-125,13.0,48.0
fl-4.0-structure-125,14.0,49.0
fl-4.0-structure-125,15.0,50.0
fl-4.0-structure-125,16.0,51.0
fl-4.0-structure-125,17.0,52.0
fl-4.0-structure-125,18.0,53.0
fl-4.0-structure-125,19.0,54.0
fl-4.0-structure-125,20.0,55.0
fl-4.0-structure-125,21.0,56.0
fl-4.0-structure-125,22.0,57.0
fl-4.0-structure-125,23.0,58.0
fl-4.0-structure-125,24.0,59.0
fl-4.0-structure-126,-4.0,0.0
fl-4.0-structure-126,-3.0,0.0
fl-4.0-structure-126,-2.0,4.0
fl-4.0-structure-126,-1.0,8.0
fl-4.0-structure-126,0.0,11.0
fl-4.0-structure-126,1.0,18.0
fl-4.0-structure-126,2.0,20.0
fl-4.0-structure-126,3.0,23.0
fl-4.0-structure-126,4.0,28.0
fl-4.0-structure-126,5.0,33.0
fl-4.0-structure-126,6.0,38.0
fl-4.0-structure-126,7.0,44.0
fl-4.0-structure-126,8.0,49.0
fl-4.0-structure-126,9.0,51.0
fl-4.0-structure-126,10.0,53.0
fl-4.0-structure-126,11.0,55.0
fl-4.0-structure-126,12.0,57.0
fl-4.0-structure-126,13.0,59.0
fl-4.0-structure-126,14.0,60.0
fl-4.0-structure-126,15.0,61.0
fl-4.0-structure-126,16.0,62.0
fl-4.0-structure-126,17.0,63.0
fl-4.0-structure-126,18.0,64.0
fl-4.0-structure-126,19.0,65.0
fl-4.0-structure-126,20.0,66.0
fl-4.0-structure-126,21.0,67.0
fl-4.0-structure-126,22.0,68.0
fl-4.0-structure-126,23.0,69.0
fl-4.0-structure-126,24.0,70.0
fl-4.0-structure-127,-4.0,0.0
fl-4.0-structure-127,-3.0,0.0
fl-4.0-structure-127,-2.0,3.0
fl-4.0-structure-127,-1.0,5.0
fl-4.0-structure-127,0.0,6.0
fl-4.0-structure-127,1.0,9.0
fl-4.0-structure-127,2.0,15.0
fl-4.0-structure-127,3.0,20.0
fl-4.0-structure-127,4.0,26.0
fl-4.0-structure-127,5.0,31.0
fl-4.0-structure-127,6.0,33.0
fl-4.0-structure-127,7.0,36.0
fl-4.0-structure-127,8.0,39.0
fl-4.0-structure-127,9.0,42.0
fl-4.0-structure-127,10.0,45.0
fl-4.0-structure-127,11.0,46.0
fl-4.0-structure-127,12.0,47.0
fl-4.0-structure-127,13.0,48.0
fl-4.0-structure-127,14.0,49.0
fl-4.0-structure-127,15.0,50.0
fl-4.0-structure-127,16.0,51.0
fl-4.0-structure-127,17.0,52.0
fl-4.0-structure-127,18.0,53.0
fl-4.0-structure-127,19.0,54.0
fl-4.0-structure-127,20.0,55.0
fl-4.0-structure-127,21.0,56.0
fl-4.0-structure-127,22.0,57.0
fl-4.0-structure-127,23.0,58.0
fl-4.0-structure-127,24.0,59.0
fl-4.0-structure-128,-4.0,0.0
fl-4.0-structure-128,-3.0,0.0
fl-4.0-structure-128,-2.0,0.0
fl-4.0-structure-128,-1.0,5.0
fl-4.0-structure-128,0.0,6.0
fl-4.0-structure-128,1.0,16.0
fl-4.0-structure-128,2.0,19.0
fl-4.0-structure-128,3.0,22.0
fl-4.0-structure-128,4.0,27.0
fl-4.0-structure-128,5.0,32.0
fl-4.0-structure-128,6.0,35.0
fl-4.0-structure-128,7.0,42.0
fl-4.0-structure-128,8.0,48.0
fl-4.0-structure-128,9.0,50.0
fl-4.0-structure-128,10.0,52.0
fl-4.0-structure-128,11.0,54.0
fl-4.0-structure-128,12.0,56.0
fl-4.0-structure-128,13.0,58.0
fl-4.0-structure-128,14.0,59.0
fl-4.0-structure-128,15.0,60.0
fl-4.0-structure-128,16.0,61.0
fl-4.0-structure-128,17.0,62.0
fl-4.0-structure-128,18.0,63.0
fl-4.0-structure-128,19.0,64.0
fl-4.0-structure-128,20.0,65.0
